name,author,latest_release,created,size,latest_game_version,categories,downloads,mod_loaders
Just Enough Items (JEI),mezz,"Sep 10, 2024","Nov 24, 2015",1.28 MB,1.21.1,API and Library | Map and Information,"354,060,918","Forge, Fabric, NeoForge"
Cloth Config API (Fabric/Forge/NeoForge),shedaniel,"Sep 10, 2024","Oct 19, 2019",1.10 MB,1.21.1,API and Library,"150,881,067","Forge, Fabric, Quilt, NeoForge"
GeckoLib,Gecko,"Aug 31, 2024","Jun 7, 2020",554.73 KB,1.21.1,API and Library,"142,190,418","Forge, Fabric, Quilt, NeoForge"
Mouse Tweaks,YaLTeR,"Aug 17, 2024","Jun 25, 2013",72.21 KB,1.21.1,Miscellaneous | Storage | Utility & QoL,"263,130,650","Forge, Fabric, NeoForge, Risugami's ModLoader"
Architectury API (Fabric/Forge/NeoForge),shedaniel,"Jul 22, 2024","Nov 14, 2020",570.23 KB,1.21.1,API and Library,"147,594,830","Forge, Fabric, Quilt, NeoForge"
Controlling,Jaredlll08,"Sep 10, 2024","Aug 29, 2016",75.91 KB,1.21.1,Utility & QoL | Cosmetic,"221,147,895","Forge, Fabric, NeoForge"
AppleSkin,squeek502,"Aug 1, 2024","Aug 14, 2016",56.37 KB,1.21.1,Food | Map and Information,"222,175,592","Forge, NeoForge, Fabric"
Bookshelf,DarkhaxDev,"Aug 20, 2024","Mar 12, 2015",291.79 KB,1.20.4,Miscellaneous | Server Utility | API and Library,"222,208,587","Forge, Fabric, Quilt, NeoForge"
Clumps,Jaredlll08,"Aug 13, 2024","Jan 7, 2017",17.95 KB,1.21.1,Utility & QoL | Storage | Server Utility,"192,613,236","Forge, Fabric, NeoForge"
Curios API (Forge/NeoForge),TheIllusiveC4,"Aug 31, 2024","Dec 28, 2018",376.33 KB,1.20.6,"Adventure and RPG | API and Library | Armor, Tools, and Weapons","128,520,664","Forge, NeoForge"
Moonlight Lib,MehVahdJukaar,"Sep 11, 2024","Jul 2, 2021",1.12 MB,1.20.1,API and Library,"103,373,009","Forge, Fabric, NeoForge"
Jade 🔍,Snownee,"Sep 9, 2024","Jun 19, 2019",284.36 KB,1.18.1,Utility & QoL | Map and Information,"83,142,891","Forge, Fabric, Quilt, NeoForge"
